g_advertiser_id,pod,pod_channel,pod_sub_channel,pod_sector,ultimate_parent_name,legal_entity_name,advertiser_account_name,sfdc_ultimate_parent_account_id,sfdc_legal_entity_account_id,sfdc_account_id,service_model_tier,"Eligible for Avatria
form for service request",primary_msot,sentiment,last_28d_spend,last_90d_spend,last_365d_spend,cpc_spend_90d,ocpm_spend_90d,lower_funnel_spend_90d,catalog_sales_spend_90d,conversion_spend_90d,shopping_conversion_spend_90d,consideration_spend_90d,awareness_vc_spend_90d,awareness_spend_90d,creative_count_90d,high_impact_spend_365d,web_eqs_score,web_eqs_status,web blocker,web resolution timing,app_eqs_score,app_eqs_status,app blocker,app resolution timing,offline_eqs_score,offline_eqs_status,offline blocker,offline resolution timing,Notes,,,,pplus_campaigns_revenue,pplus_campaigns_eligible_spend,pplus_campaigns_pct_rev,full_pplus_feature_adoption_pct_rev,pplus_bidding_pct_rev,pplus_budgets_pct_rev,pplus_targeting_pct_rev,pplus_creative_pct_rev,pplus_roas_bidding_pct_rev,dt
549768881511,EX-GCR-KAM-01-PIN,Greater China,Greater China,Greater China,Alibaba Group,AEK_TAC_Shopping_KR_01,AEK_TAC_Shopping_KR_01,0011N00001LW3SA,001Pr00000NPlueIAD,001Pr00000NQ7dNIAT,1_t200,No,Site Analytics / 3P last click attribution,None,1.07E+04,2.46E+04,2.63E+05,0,2.46E+04,2.46E+04,2.46E+04,0.00E+00,2.46E+04,0,0.00E+00,0,1,0,0,NEEDS IMPROVEMENT,,,4,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,0,0,0,0,0,0,0,0,0,2026-02-03
549766570957,EX-GCR-KAM-01-PIN,Greater China,Greater China,Greater China,Alibaba Group,Aliexpress US,Aliexpress US - 01,0011N00001LW3SA,001Pr000001wQcmIAE,001Pr000001x8ZoIAI,1_t200,No,Site Analytics / 3P last click attribution,None,10549.0506,39888.20822,389769.2456,0,39888.20822,39888.20822,39888.20822,0,39888.20822,0,0.00E+00,0.00E+00,1,0,0,NEEDS IMPROVEMENT,,,4,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,0,0,0,0,0,0,0,0,0,2026-02-03
549769678976,EX-GCR-KAM-01-PIN,Greater China,Greater China,Greater China,Alibaba Group,Aliexpress_Pinterest_拉新_01,Aliexpress_Pinterest_拉新_01,0011N00001LW3SA,001PW000017qjixYAA,001PW000017rLJiYAM,2_tier1,No,None,None,73531.63939,80680.60873,80680.60873,190.247243,80490.36149,80680.60873,78336.47153,2153.889955,80490.36149,190.247243,0,0,3,0,0,N/A,,,7.1,FAIR,,,0,N/A,,,,,,,6530.674649,6530.674649,1,1,1,1,0.2071240373,0.7928759627,0.2071240373,2026-02-03
549767826585,EX-GCR-KAM-01-PIN,Greater China,Greater China,Greater China,Alibaba Group,LAZADA-MH-SEA-5 (MH),Lazada Pin VN,0011N00001LW3SA,001Pr00000AmtSwIAJ,001Pr00000An5M3IAJ,1_t200,No,Site Analytics / 3P last click attribution,None,38420.57164,107205.1415,334925.8283,0,107205.1415,107205.1415,107205.1415,0,107205.1415,0,0,0,2,0,0,N/A,,,1.8,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,0,0,0,0,0,0,0,0,0,2026-02-03
549769709515,EX-GCR-KAM-02-PIN,Greater China,Greater China,Greater China,ByteDance Technology Co Ltd,newcloud_ARA_CapCut_3006_EU3,newcloud_ARA_CapCut_3006_EU3,0011N00001X7c1d,001PW000019mJQDYA2,001PW000019m1Q2YAI,2_tier1,No,None,None,0,2548.51039,12512.63137,0,2548.51039,2548.51039,0,2548.51039,2548.51039,0,0,0,1,0,0,N/A,,,1.6,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,1622.223873,2073.364859,0.7824111934,1,1,1,0,1,0,2026-02-03
549759397221,EX-GCR-KAM-02-PIN,Greater China,Greater China,Greater China,Light In The Box Limited,Light In The Box Limited,Lightinthebox01,0011N00001LW9io,0011N00001LW9ioQAD,0011N00001yxWnsQAE,3_tier2,No,Site Analytics / 3P last click attribution,None,102132.0975,281873.9841,1249880.758,0,281873.9841,281873.9841,281873.9841,0,281873.9841,0,0,0,1,0,0,NEEDS IMPROVEMENT,,,0,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,0,8883.876951,0,0,1,1,0,0,0,2026-02-03
549766461357,EX-GCR-KAM-02-PIN,Greater China,Greater China,Greater China,Light In The Box Limited,Light In The Box Limited,lightinthebox06,0011N00001LW9io,0011N00001LW9ioQAD,001Pr000001UWq5IAG,3_tier2,No,Site Analytics / 3P last click attribution,None,19674.73644,85183.31454,686819.8885,0,85183.31454,85183.31454,85183.31454,0,85183.31454,0,0,0,1,0,0,NEEDS IMPROVEMENT,,,0,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,0,8640.457205,0,0,0.9998020386,0,0.2701702977,0,0,2026-02-03
549755833937,EX-GCR-KAM-02-PIN,Greater China,Greater China,Greater China,Light In The Box Limited,Light In The Box Limited,LightInTheBox,0011N00001LW9io,0011N00001LW9ioQAD,0011N00001Lj045QAB,3_tier2,No,Site Analytics / 3P last click attribution,None,0,1627.723979,61823.46542,297.763685,1329.960294,1627.723979,0.00E+00,1329.960294,1329.960294,297.763685,0,0,1,0,0,NEEDS IMPROVEMENT,,,0,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,0,3.70653,0,1,1,1,1,0,0,2026-02-03
549765409225,EX-GCR-KAM-02-PIN,Greater China,Greater China,Greater China,Light In The Box Limited,lightinthebox05,lightinthebox05,0011N00001LW9io,0013m00002wfVVzAAM,0013m00002wfVfAAAU,3_tier2,No,Site Analytics / 3P last click attribution,None,4693.883181,35711.48746,645418.0987,0.00E+00,35711.48746,35711.48746,35711.48746,0.00E+00,3.57E+04,0,0,0,1,0,0,NEEDS IMPROVEMENT,,,0,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,0,191.632963,0,1,1,1,1,0,0,2026-02-03
549766199076,EX-GCR-KAM-01-PIN,Greater China,Greater China,Greater China,"Nanjing Kapeixi Network Technology Co., Ltd",CUPSHE,Cupshe-2023,0013m0000296dyx,0011N00001LWHlFQAX,001Pr000000i4ZTIAY,2_tier1,No,None,None,146845.5679,294322.6889,479905.5571,0,294322.6889,294322.6889,264994.0474,29328.64149,294322.6889,0,0,0,4,0,8,FAIR,,,3.7,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,1173.133808,8986.951022,0.1305374654,1,1,1,0.1305374654,0.8694625346,0,2026-02-03
